load,year,month,day,hour,minute,humidity,temperature
5,2019,8,13,15,0,15.1999998092651,152.6
5,2019,8,13,15,10,15.1999998092651,152.059994506836
5,2019,8,13,15,20,15.1000003814697,152.959994506836
5,2019,8,13,15,30,15.6000003814697,152.059994506836
5,2019,8,13,15,40,15.3999996185303,152.6
5,2019,8,13,15,50,15.6000003814697,152.059994506836
5,2019,8,13,16,0,15.6000003814697,152.959994506836
5,2019,8,13,16,10,15.6999998092651,152.059994506836
5,2019,8,13,16,20,15.8000001907349,152.6
5,2019,8,13,16,30,15.8999996185303,151.879997253418
5,2019,8,13,16,40,15.5,152.6
5,2019,8,13,16,50,15.6000003814697,151.879997253418
5,2019,8,13,17,0,15.3999996185303,152.6
5,2019,8,13,17,10,15.6000003814697,152.059994506836
5,2019,8,13,17,20,15.3999996185303,152.6
5,2019,8,13,17,30,15.5,152.059994506836
5,2019,8,13,17,40,15.3000001907349,152.420002746582
5,2019,8,13,17,50,15.3000001907349,152.059994506836
5,2019,8,13,18,0,15.3000001907349,152.420002746582
5,2019,8,13,18,10,15.3999996185303,151.879997253418
5,2019,8,13,18,20,15.3999996185303,152.420002746582
5,2019,8,13,18,30,15.3999996185303,151.879997253418
5,2019,8,13,18,40,15.1999998092651,152.420002746582
5,2019,8,13,18,50,15.3000001907349,152.059994506836
5,2019,8,13,19,0,15.1000003814697,152.059994506836
5,2019,8,13,19,10,15.1000003814697,152.059994506836
5,2019,8,13,19,20,15.1000003814697,152.420002746582
5,2019,8,13,19,30,14.8999996185303,152.059994506836
5,2019,8,13,19,40,15.0,152.059994506836
5,2019,8,13,19,50,15.0,152.779997253418
5,2019,8,13,20,0,15.1000003814697,151.520002746582
5,2019,8,13,20,10,15.0,152.420002746582
5,2019,8,13,20,20,14.8999996185303,152.059994506836
5,2019,8,13,20,30,15.1000003814697,152.059994506836
5,2019,8,13,20,40,14.8999996185303,152.420002746582
5,2019,8,13,21,0,14.6999998092651,152.059994506836
5,2019,8,13,21,10,14.8000001907349,151.879997253418
5,2019,8,13,21,20,14.6999998092651,152.420002746582
5,2019,8,13,21,30,14.8000001907349,151.879997253418
5,2019,8,13,21,40,14.6999998092651,152.420002746582
5,2019,8,13,21,50,14.6999998092651,151.879997253418
5,2019,8,13,22,0,14.6000003814697,152.420002746582
5,2019,8,13,22,10,14.6000003814697,151.879997253418
5,2019,8,13,22,20,14.3999996185303,152.059994506836
5,2019,8,13,22,30,14.6000003814697,151.879997253418
5,2019,8,13,22,40,14.5,152.059994506836
5,2019,8,13,22,50,14.5,151.879997253418
5,2019,8,13,23,0,14.6000003814697,152.059994506836
5,2019,8,13,23,10,14.6000003814697,152.6
5,2019,8,13,23,20,14.8000001907349,151.520002746582
5,2019,8,13,23,30,14.6999998092651,152.059994506836
5,2019,8,13,23,40,14.6999998092651,152.059994506836
5,2019,8,13,23,50,14.8000001907349,152.059994506836
5,2019,8,14,0,0,14.6000003814697,152.420002746582
5,2019,8,14,0,10,14.8000001907349,151.520002746582
5,2019,8,14,0,20,14.6000003814697,152.059994506836
5,2019,8,14,0,30,14.6999998092651,151.7
5,2019,8,14,0,40,14.6999998092651,152.059994506836
5,2019,8,14,0,50,14.6999998092651,151.879997253418
5,2019,8,14,1,0,14.8000001907349,151.879997253418
5,2019,8,14,1,10,14.6999998092651,152.420002746582
5,2019,8,14,1,20,14.8000001907349,151.520002746582
5,2019,8,14,1,30,14.6999998092651,152.059994506836
5,2019,8,14,1,40,14.6999998092651,151.340005493164
5,2019,8,14,1,50,14.5,151.879997253418
5,2019,8,14,2,0,14.5,152.420002746582
5,2019,8,14,2,10,14.6999998092651,151.879997253418
5,2019,8,14,2,20,14.5,152.420002746582
5,2019,8,14,2,30,14.6999998092651,151.520002746582
5,2019,8,14,2,40,14.5,152.059994506836
5,2019,8,14,2,50,14.5,151.879997253418
5,2019,8,14,3,0,14.5,151.879997253418
5,2019,8,14,3,10,14.5,152.059994506836
5,2019,8,14,3,20,14.3999996185303,151.879997253418
5,2019,8,14,3,30,14.5,152.059994506836
5,2019,8,14,3,40,14.3000001907349,152.420002746582
5,2019,8,14,3,50,14.6000003814697,151.879997253418
5,2019,8,14,4,0,14.5,152.420002746582
5,2019,8,14,4,10,14.5,151.879997253418
5,2019,8,14,4,20,14.3999996185303,152.059994506836
5,2019,8,14,4,30,14.3999996185303,151.879997253418
5,2019,8,14,4,40,14.5,152.059994506836
5,2019,8,14,4,50,14.3000001907349,152.420002746582
5,2019,8,14,5,0,3284.0,151.879997253418
5,2019,8,14,5,10,14.3999996185303,152.420002746582
5,2019,8,14,5,20,14.3999996185303,151.520002746582
5,2019,8,14,5,30,14.3000001907349,152.059994506836
5,2019,8,14,5,40,14.3000001907349,152.420002746582
5,2019,8,14,5,50,14.3999996185303,151.520002746582
5,2019,8,14,6,0,14.3000001907349,152.059994506836
5,2019,8,14,6,10,14.1000003814697,152.420002746582
5,2019,8,14,6,40,14.1000003814697,152.420002746582
5,2019,8,14,6,50,14.3000001907349,151.520002746582
5,2019,8,14,7,0,14.1000003814697,152.059994506836
5,2019,8,14,7,10,14.3000001907349,151.520002746582
5,2019,8,14,7,20,14.1999998092651,152.059994506836
5,2019,8,14,7,30,14.3000001907349,151.520002746582
5,2019,8,14,7,40,14.3000001907349,151.879997253418
5,2019,8,14,7,50,14.1999998092651,152.420002746582
5,2019,8,14,8,0,14.5,151.879997253418
5,2019,8,14,8,10,14.5,152.420002746582
5,2019,8,14,8,20,14.6000003814697,151.520002746582
5,2019,8,14,8,30,14.6999998092651,152.420002746582
5,2019,8,14,8,40,14.8000001907349,151.520002746582
5,2019,8,14,8,50,14.8000001907349,152.059994506836
5,2019,8,14,9,0,14.8000001907349,151.879997253418
5,2019,8,14,9,10,14.8000001907349,152.059994506836
5,2019,8,14,9,20,14.8999996185303,152.420002746582
5,2019,8,14,9,30,15.1000003814697,151.879997253418
5,2019,8,14,9,40,15.0,152.059994506836
5,2019,8,14,9,50,15.1000003814697,152.6
5,2019,8,14,10,0,15.5,151.879997253418
5,2019,8,14,10,10,15.3000001907349,152.420002746582
5,2019,8,14,10,20,15.3000001907349,151.7
5,2019,8,14,10,30,15.3000001907349,152.420002746582
5,2019,8,14,10,40,15.3000001907349,151.7
5,2019,8,14,10,50,15.3999996185303,152.6
5,2019,8,14,11,0,15.6000003814697,151.879997253418
5,2019,8,14,11,10,15.3999996185303,152.420002746582
5,2019,8,14,11,20,15.5,151.879997253418
5,2019,8,14,11,30,15.3000001907349,152.6
5,2019,8,14,11,40,15.6999998092651,151.879997253418
5,2019,8,14,11,50,15.6000003814697,152.6
5,2019,8,14,12,0,15.8999996185303,151.879997253418
5,2019,8,14,12,10,15.6000003814697,152.420002746582
5,2019,8,14,12,20,15.6000003814697,152.059994506836
5,2019,8,14,12,30,15.6000003814697,152.420002746582
5,2019,8,14,12,40,16.1000003814697,152.059994506836
5,2019,8,14,12,50,16.3999996185303,152.420002746582
5,2019,8,14,13,0,16.6000003814697,152.059994506836
5,2019,8,14,13,10,16.3999996185303,152.420002746582
5,2019,8,14,13,20,16.2000007629395,152.059994506836
5,2019,8,14,13,30,15.8000001907349,152.420002746582
5,2019,8,14,13,40,16.0,152.059994506836
5,2019,8,14,13,50,16.1000003814697,152.420002746582
5,2019,8,14,14,0,16.3999996185303,151.879997253418
5,2019,8,14,14,10,16.2999992370605,152.059994506836
5,2019,8,14,14,20,16.3999996185303,152.059994506836
5,2019,8,14,14,30,16.3999996185303,152.6
5,2019,8,14,14,50,16.5,152.420002746582
5,2019,8,14,15,0,16.8999996185303,151.879997253418
5,2019,8,14,15,10,16.6000003814697,152.420002746582
5,2019,8,14,15,20,17.0,151.520002746582
5,2019,8,14,15,30,16.7000007629395,152.420002746582
5,2019,8,14,15,40,16.8999996185303,151.520002746582
5,2019,8,14,15,50,16.6000003814697,152.420002746582
5,2019,8,14,16,10,16.2000007629395,152.420002746582
5,2019,8,14,16,20,16.3999996185303,151.520002746582
5,2019,8,14,16,30,15.8999996185303,152.420002746582
5,2019,8,14,16,40,16.0,151.520002746582
5,2019,8,14,16,50,15.6999998092651,152.6
5,2019,8,14,17,0,16.1000003814697,151.879997253418
5,2019,8,14,17,10,16.0,152.420002746582
5,2019,8,14,17,20,16.2999992370605,152.059994506836
5,2019,8,14,17,30,16.2999992370605,152.420002746582
5,2019,8,14,17,40,16.5,151.879997253418
5,2019,8,14,17,50,16.6000003814697,152.420002746582
5,2019,8,14,18,0,16.3999996185303,152.059994506836
5,2019,8,14,18,10,16.1000003814697,152.6
5,2019,8,14,18,20,16.2000007629395,151.879997253418
5,2019,8,14,18,30,15.6999998092651,152.420002746582
5,2019,8,14,18,40,15.8000001907349,151.879997253418
5,2019,8,14,19,0,15.8999996185303,152.059994506836
